,n,h_b,h_g,a_b,a_g,e_b,e_g,ebh,egh,iteration
0,0.6,0.5,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5394118567930813,0.5394118567930813,2.0
1,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5396908729875937,0.5396908729875937,9.0
2,0.6,0.5,0.5,0.5,0.7,0.5,0.5,0.539973109961345,0.539973109961345,10.0
3,0.6,0.5,0.5,0.5,0.8,0.5000000000000001,0.5000000000000001,0.540258600818848,0.540258600818848,10.0
4,0.6,0.5,0.5,0.5,0.9,0.5,0.5,0.540547378138578,0.540547378138578,12.0
5,0.6,0.5,0.5,0.5,1.0,0.5,0.5,0.5408394739021862,0.5408394739021862,12.0
6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5396908729875937,0.5396908729875937,9.0
7,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.539973109961345,0.539973109961345,10.0
8,0.6,0.5,0.5,0.6,0.7,0.5000000000000001,0.5000000000000001,0.540258600818848,0.540258600818848,10.0
9,0.6,0.5,0.5,0.6,0.8,0.5,0.5,0.540547378138578,0.540547378138578,12.0
10,0.6,0.5,0.5,0.6,0.9,0.5,0.5,0.5408394739021862,0.5408394739021862,12.0
11,0.6,0.5,0.5,0.6,1.0,0.49999999999999994,0.49999999999999994,0.5411349194197195,0.5411349194197195,13.0
12,0.6,0.5,0.5,0.7,0.5,0.5,0.5,0.539973109961345,0.539973109961345,10.0
13,0.6,0.5,0.5,0.7,0.6,0.5000000000000001,0.5000000000000001,0.540258600818848,0.540258600818848,10.0
14,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.540547378138578,0.540547378138578,12.0
15,0.6,0.5,0.5,0.7,0.8,0.5,0.5,0.5408394739021862,0.5408394739021862,12.0
16,0.6,0.5,0.5,0.7,0.9,0.49999999999999994,0.49999999999999994,0.5411349194197195,0.5411349194197195,13.0
17,0.6,0.5,0.5,0.7,1.0,0.5,0.5,0.5414337452507194,0.5414337452507194,13.0
18,0.6,0.5,0.5,0.8,0.5,0.5000000000000001,0.5000000000000001,0.540258600818848,0.540258600818848,10.0
19,0.6,0.5,0.5,0.8,0.6,0.5,0.5,0.540547378138578,0.540547378138578,12.0
20,0.6,0.5,0.5,0.8,0.7,0.5,0.5,0.5408394739021862,0.5408394739021862,12.0
21,0.6,0.5,0.5,0.8,0.8,0.49999999999999994,0.49999999999999994,0.5411349194197195,0.5411349194197195,13.0
22,0.6,0.5,0.5,0.8,0.9,0.5,0.5,0.5414337452507194,0.5414337452507194,13.0
23,0.6,0.5,0.5,0.8,1.0,0.5,0.5,0.5417359811210977,0.5417359811210977,15.0
24,0.6,0.5,0.5,0.9,0.5,0.5,0.5,0.540547378138578,0.540547378138578,12.0
25,0.6,0.5,0.5,0.9,0.6,0.5,0.5,0.5408394739021862,0.5408394739021862,12.0
26,0.6,0.5,0.5,0.9,0.7,0.49999999999999994,0.49999999999999994,0.5411349194197195,0.5411349194197195,13.0
27,0.6,0.5,0.5,0.9,0.8,0.5,0.5,0.5414337452507194,0.5414337452507194,13.0
28,0.6,0.5,0.5,0.9,0.9,0.5,0.5,0.5417359811210977,0.5417359811210977,15.0
29,0.6,0.5,0.5,0.9,1.0,0.5,0.5,0.542041655835678,0.542041655835678,14.0
30,0.6,0.5,0.5,1.0,0.5,0.5,0.5,0.5408394739021862,0.5408394739021862,12.0
31,0.6,0.5,0.5,1.0,0.6,0.49999999999999994,0.49999999999999994,0.5411349194197195,0.5411349194197195,13.0
32,0.6,0.5,0.5,1.0,0.7,0.5,0.5,0.5414337452507194,0.5414337452507194,13.0
33,0.6,0.5,0.5,1.0,0.8,0.5,0.5,0.5417359811210977,0.5417359811210977,15.0
34,0.6,0.5,0.5,1.0,0.9,0.5,0.5,0.542041655835678,0.542041655835678,14.0
35,0.6,0.5,0.5,1.0,1.0,0.5,0.5,0.5423507971863182,0.5423507971863182,15.0
36,0.6,0.5,0.6,0.5,0.5,0.4974624120559271,0.5025375879440729,0.5369135459305479,0.5415903009876877,9.0
37,0.6,0.5,0.6,0.5,0.6,0.4974323062504061,0.5025676937495939,0.5371785151597634,0.5419077639697524,10.0
38,0.6,0.5,0.6,0.5,0.7,0.4974021262904189,0.5025978737095811,0.5374470703366174,0.5422288418407152,11.0
39,0.6,0.5,0.6,0.5,0.8,0.49737188032862284,0.502628119671377,0.5377192518165761,0.5425535580579147,11.0
